Word,spell_corrected
1 xmonth,1x month
1 xpad,1x pad
1 xsmall,1x small
1 xtab,1x tab
1 xvomit,1x vomit
1 xweek,1x week
11 xstents,11x stents
1xepisode,1x episode
1xvomit,1z vomit
2 xabx,2x abx
2 xdays,2x days
2 xfailed,2x failed
2 xmisscarriage,2x miscarriage
2 xsalbutamol,2x salbutamol
2 xventoline,2x ventolin
24ago,24 ago
2days,2 days
2weeks,2 weeks
2wks,2 weeks
2xdiarrhoea,2x diarrhoea
2yrs,2 years
3 xgtn,3x gtn
3 xsprays,3x sprays
3yrs,3 years
4 xcardiac,4x cardiac
4 xstents,4x stents
40gestation,gestation
4days,4 days
4puffs,4 puffs
6puffs,6 puffs
7 xseizures,7x seizures
aabdominal,abdominal
aabsconded,absconded
aaccidently,accidently
aachycardic,tachycardic
aacid,acid
aacquired,acquired
aacute,acute
aaddision,addision
aadenocarcinoma,adenocarcinoma
aadh,adh
aadmission,admission
aadmit,admit
aadmits,admits
aafeb,afebrile
aafebrile,afebrile
aafternoon,afternoon
aagain,again
aaggraive,aggreive
aaginst,against
aago,ago
aagressive,aggressive
aairbags,airbags
aalcol,alcohol
aalegdly,allegedly
aalergic,allergic
aalert,alert
aalgaesia,analgesia
aalgesia,analgesia
aalleged,alleged
aallerg,allergy
aallergic,allergic
aalso,also
aambulant,ambulant
aanalgesia,analgesia
aand,and
aanelgesia,analgesia
aangioplasty,angioplasty
aankle,ankle
aanlgesia,analgesia
aanormal,abnormal
aantibiotics,antibiotics
aantihyperteisnve,antihypertensive
aany,any
aapetite,appetite
aapplication,application
aappt,appointment
aapraoch,approach
aaprox,approx
aarage,a rage
aarea,area
aarecent,recent
aarm,arm
aasleep,asleep
aasoc,associated
aasociated,associated
aaspiration,aspiration
aassault,assault
aasscoiated,associated
aassessment,assessment
aassessory,acessory
aassoc,associated
aassociated,associated
aassosiated,associated
aasthma,asthma
aathma,asthma
aattck,attack
aattended,attended
aaugmentation,augmentation
aawake,awake
aaway,away
aazhimers,alzalzheimers
ababy,a baby
abacteria,a bacteria
abado,abdomen
abadvised,advised
abalation,ablation
abalations,ablations
abale,able
abalgesia,analgesia
abalify,abilify
abalsions,ablations
abaltion,ablation
abandond,abandoned
abandoned,abandoned
abarasion,abrasion
abarasions,abrasion
abaration,abrasion
abarsion,abrasion
abarsions,abrasion
abarsioons,abrasions
abarsiosn,abrasion
abascess,abscess
abasion,abrasion
abasrions,abrasion
abat,abate
abbdo,abdomen
abbdomen,abdomen
abbdominal,abdominal
abbesses,abscesses
abblation,abl
abble,able
abbnormal,abnormal
abbnormalities,abnormalities
abbo,abdomen
abbominal,abdominal
abbott,about
abbout,about
abbrasion,abrasion
abbrasions,abrasion
abbrassion,abrasion
abbrassions,abrasion
abce20ss,abscess
abcecess,abscess
abcees,abscess
abcence,absence
abcense,absence
abcent,absent
abces,abscess
abcescees,abscess
abcescess,abscess
abcesent,absent
abceses,abscess
abcesess,abscess
abcess,abscess
abcesses,abscess
abcessess,abscess
abcessof,abscess
abcesss,abscess
abcessses,abscess
abches,aches
abck,back
abckward,backward
abco,abdomen
abcominal,abdominal
abcond,abscond
abconded,absconded
abcormal,abnormal
abcress,abscess
abcscess,abscess
abcsess,abscess
abdbo,abdomen
abdcess,abscess
abddo,abdomen
abddomin,abdomen
abddominal,abdominal
abddominla,abdominal
abdeominal,abdominal
abdimanl,abdominal
abdimen,abdomen
abdimn,abdominal
abdimnal,abdominal
abdimnial,abdominal
abdio,abdomen
abdiomen,abdomen
abdiomina,abdominal
abdiominal,abdominal
abdiomnal,abdominal
abdle,able
abdmen,abdomen
abdminal,abdominal
abdminton,badminton
abdmnal,abdominal
abdmoinal,abdominal
abdmomen,abdomen
abdmominal,abdominal
abdmonal,abdominal
abdmonen,abdomen
abdmonial,abdominal
abdmoninal,abdominal
abdmormal,abnormal
abdnomalities,abnormality
abdnomorality,abnormality
abdnomral,abnormal
abdnomrality,abnormality
abdnomrialitis,abnormality
abdnoraml,abnormal
abdnormal,abnormal
abdnormalities,abnormality
abdnormalitis,abnormality
abdnormality,abnormality
abdnormally,abnormally
abdo0,abdomen
abdo16,abdomen
abdoa,abdomen
abdoamen,abdomen
abdoand,abdo and
abdoapin,abdomen pain
abdobut,abdo but
abdocramping,abdomen cramping
abdoct,abdo ct
abdodistention,abdomen distention
abdoem,abdomen
abdoemen,abdomen
abdoemn,abdomen
abdoen,abdomen
abdofor,abdomen
abdoi,abdomen
abdoimal,abdominal
abdoimanl,abdominal
abdoiminal,abdominal
abdoimnal,abdominal
abdoinal,abdominal
abdol,abdominal
abdolow,abdo low
abdom,abdomen
abdomainal,abdominal
abdomainl,abdominal
abdomal,abdominal
abdoman,abdomen
abdomben,abdomen
abdome,abdomen
abdomeb,abdomen
abdomebn,abdomen
abdomeinal,abdominal
abdomem,abdomen
abdomena,abdomen
abdomenal,abdominal
abdomenalso,abdomen also
abdomenarea,abdomen area
abdomendn,abdomen
abdomengp,abdomen gp
abdomenial,abdominal
abdomenm,abdomen
abdomenn,abdomen
abdomenno,abdomen no
abdomeno,abdomen
abdomenpt,abdomen pt
abdoment,abdomen
abdomenworse,abdomen worse
abdomern,abdomen
abdomi9nal,abdominal
abdomial,abdominal
abdomian,abdominal
abdomianl,abdominal
abdomibal,abdominal
abdomibnal,abdominal
abdomical,abdominal
abdomien,abdominal
